Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
298 /ideskos-locale/locales,100,616,551,916,1062,1721,242,2092,0.00%,5.7,263.8
77 /ideskos-locale/bundle/com.mediaocean.security.admin/locale/22,10,1586,1775,2044,2044,2066,848,2066,0.00%,1.2,22.8
305 /ideskos-locale/locale/en_US,100,249,220,280,334,625,1,1275,1.00%,5.9,4.9
81 /prisma-api/secure/rest/secadmin/users/organisations,10,473,435,609,609,642,385,642,0.00%,1.4,2.4
304 /prisma-api/secure/rest/secadmin/associations/2114990,100,556,503,894,1068,1289,248,1522,0.00%,5.8,22.9
82 /ideskos-locale/locales,10,316,257,461,461,548,232,548,0.00%,1.5,5.6
84 /ideskos-locale/locale/en_GB,10,225,219,248,248,257,217,257,0.00%,1.5,1.0
303 /ideskos-locale/locales,100,518,475,770,880,1442,243,1562,0.00%,6.0,273.9
85 /ideskos-locale/locale/en_GB,10,219,218,225,225,231,209,231,0.00%,1.5,1.0
307 /prisma-api/secure/rest/secadmin/accessgroups/organisations/2114990,100,485,382,752,997,2390,248,2438,0.00%,5.9,8.3
86 /ideskos-locale/locale/en_GB,10,243,222,287,287,361,215,361,0.00%,1.5,1.0
87 /prisma-api/secure/rest/secadmin/adminMenuOption,10,299,275,331,331,504,241,504,0.00%,1.5,1.9
306 /prisma-api/secure/rest/secadmin/associations/2114990,100,410,345,651,704,962,240,985,0.00%,5.9,9.7
308 /prisma-api/secure/rest/secadmin/roles/organisations/2114990,100,403,335,634,768,1338,242,1447,0.00%,5.9,8.8
83 /prisma-api/secure/rest/secadmin/associations/2114984,10,401,359,580,580,659,272,659,0.00%,1.5,6.0
89 /ideskos-locale/locale/en_GB,10,226,221,240,240,264,212,264,0.00%,1.5,1.0
311 /prisma-api/secure/rest/secadmin/adminMenuOption,100,432,313,760,1005,1553,233,2308,0.00%,5.9,7.3
88 /prisma-api/secure/rest/secadmin/associations/2114984,10,474,384,640,640,1034,290,1034,0.00%,1.5,5.8
309 /prisma-api/secure/rest/secadmin/permissions,100,845,673,1607,1756,2471,287,2775,0.00%,5.9,61.0
91 /prisma-api/secure/rest/secadmin/accessgroups/organisations/2114984,10,452,319,685,685,1264,254,1264,0.00%,1.5,2.1
310 /prisma-api/secure/rest/mdm/sellerOrganisations,100,882,806,1400,1577,1809,331,1889,0.00%,5.9,10.5
92 /prisma-api/secure/rest/secadmin/roles/organisations/2114984,10,402,311,401,401,1213,245,1213,0.00%,1.6,2.4
90 /prisma-api/secure/rest/secadmin/associations/2114984,10,490,414,793,793,924,261,924,0.00%,1.5,2.4
312 /prisma-api/secure/rest/mdm/mediaOwners/22-JWH5BNF-5,100,982,921,1442,1631,2117,441,2347,0.00%,5.8,10.2
313 /prisma-api/secure/rest/mdm/agencies,100,917,874,1367,1431,1878,301,1986,0.00%,5.8,7.3
93 /prisma-api/secure/rest/mdm/sellerOrganisations,10,703,566,1110,1110,1490,442,1490,0.00%,1.4,2.5
314 /prisma-api/secure/rest/mdm/agencies,100,863,849,1207,1377,1652,343,2117,0.00%,5.7,7.1
316 /prisma-api/secure/rest/mdm/mediaOwners/validateFields,100,480,448,732,805,961,240,1349,0.00%,5.7,6.9
94 /prisma-api/secure/rest/mdm/mediaOwners/35-F909FKX-5,10,1062,788,1607,1607,1893,521,1893,0.00%,1.4,2.4
315 /prisma-api/secure/rest/mdm/mediaOwners/validateFields,100,466,417,739,852,956,254,1112,0.00%,5.7,6.9
96 /ideskos-locale/locales,10,377,285,511,511,653,255,653,0.00%,1.5,5.4
318 /prisma-api/secure/rest/secadmin/users,100,1272,1067,2195,2518,2904,319,3357,0.00%,5.4,327.8
324 /ideskos-viewport/user/logout,100,293,266,352,426,667,231,692,0.00%,5.5,3.3
95 /prisma-api/secure/rest/secadmin/permissions,10,857,602,1281,1281,1541,356,1541,0.00%,1.3,11.2
326 /ideskos-viewport/session,100,242,213,228,625,634,203,639,0.00%,5.5,3.0
97 /ideskos-locale/locale/en_GB,10,223,214,236,236,248,210,248,0.00%,1.3,.9
98 /ideskos-locale/locale/en_GB,10,219,215,227,227,237,212,237,0.00%,1.3,.9
327 /viewport-home/,100,649,627,647,674,1253,607,1299,0.00%,5.4,53.1
100 /prisma-api/secure/rest/mdm/mediaOwners/validateFields,10,546,443,885,885,918,258,918,0.00%,1.3,1.5
337 /cas/ticketStatus,100,210,207,221,229,279,201,280,0.00%,5.6,1.8
101 /prisma-api/secure/rest/mdm/mediaOwners/validateFields,10,484,456,622,622,758,286,758,0.00%,1.3,1.5
338 /ideskos-locale/bundle/com.mediaocean.viewport.banner/locale/22,100,295,268,451,457,468,246,476,0.00%,5.5,84.2
339 /ideskos-locale/bundle/com.mediaocean.viewport-app/locale/22,100,287,260,299,352,898,243,911,0.00%,5.5,67.3
Login Transaction-PFS,100,36265,37693,41205,41532,42135,24924,42303,6.00%,2.4,1767.6
99 /prisma-api/secure/rest/mdm/agencies,10,914,716,1440,1440,1575,440,1575,0.00%,1.1,1.4
104 /prisma-api/secure/rest/mdm/agencies,10,909,763,1286,1286,1590,609,1590,0.00%,1.2,1.5
105 /prisma-api/secure/rest/secadmin/users,10,1340,1239,1928,1928,2483,546,2483,0.00%,1.2,36.2
106 /ideskos-viewport/user/logout,10,269,261,301,301,304,243,304,0.00%,1.4,.8
107 /ideskos-viewport/session,10,215,213,220,220,230,208,230,0.00%,1.4,.8
108 /viewport-home/,10,625,616,643,643,645,610,645,0.00%,1.3,12.8
117 /cas/ticketStatus,10,206,206,211,211,213,201,213,0.00%,1.4,.4
Login Transaction-PATS,10,32371,32419,35366,35366,35397,28532,35397,0.00%,.3,51.7
TOTAL,6070,1301,436,1553,2580,35757,0,42303,0.20%,138.1,3487.7
